ID,国家名称,所属洲,现存确诊,可疑人数,累计确诊,死亡人数,治愈人数,确认计数等级,病死率排序,死亡率,历史记录
4804817,荷属圣马丁,北美洲,130,0,146,16,0,182,8,10.95,https://file1.dxycdn.com/2020/0401/655/3405278646179898780-135.json
4804170,泰国,亚洲,128,0,3321,58,3135,111,116,1.74,https://file1.dxycdn.com/2020/0315/926/3402160512808052473-135.json
4804205,钻石公主号邮轮,其他,125,0,712,13,574,156,109,1.82,https://file1.dxycdn.com/2020/0315/381/3402160536430196671-135.json
4804730,巴巴多斯,北美洲,125,0,132,7,0,184,29,5.30,https://file1.dxycdn.com/2020/0320/457/3403052105069099774-135.json
4804181,柬埔寨,亚洲,119,0,241,0,122,176,184,0.00,https://file1.dxycdn.com/2020/0315/664/3402160527840261727-135.json
4804711,阿鲁巴,北美洲,119,0,122,3,0,185,84,2.45,https://file1.dxycdn.com/2020/0318/025/3402668034060765266-135.json
4804683,塞舌尔,非洲,114,0,114,0,0,186,184,0.00,https://file1.dxycdn.com/2020/0317/101/3402535588007034097-135.json
4804791,特克斯和凯科斯群岛,北美洲,112,0,114,2,0,186,115,1.75,https://file1.dxycdn.com/2020/0325/278/3403979839479981638-135.json
4804774,巴布亚新几内亚,大洋洲,109,0,111,2,0,188,112,1.80,https://file1.dxycdn.com/2020/0322/772/3403423200980799180-135.json
4804430,不丹,亚洲,103,0,103,0,0,189,184,0.00,https://file1.dxycdn.com/2020/0315/431/3402160508513085059-135.json
4804261,摩纳哥,欧洲,93,0,99,3,3,0,0,3.03,https://file1.dxycdn.com/2020/0315/266/3402160525692954743-135.json
4804667,法属波利尼西亚,大洋洲,89,0,89,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0315/877/3402160512807875636-135.json
4804684,安提瓜和巴布达,北美洲,88,0,91,3,0,0,0,3.29,https://file1.dxycdn.com/2020/0315/128/3402176462169224100-135.json
4804784,缅甸,亚洲,55,0,355,6,294,167,122,1.69,https://file1.dxycdn.com/2020/0324/456/3403794290450271454-135.json
4804785,伯利兹,北美洲,55,0,57,2,0,0,0,3.50,https://file1.dxycdn.com/2020/0324/768/3403794290450024936-135.json
4804675,圣文森特和格林纳丁斯,北美洲,55,0,55,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0315/434/3402160510660391899-135.json
4804663,圣马丁岛,北美洲,50,0,53,3,0,0,0,5.66,https://file1.dxycdn.com/2020/0315/871/3402160512808052481-135.json
4804815,北马里亚纳群岛联邦,大洋洲,44,0,46,2,0,0,0,4.34,https://file1.dxycdn.com/2020/0330/319/3404907558858335978-135.json
4804702,库拉索岛,北美洲,28,0,29,1,0,0,0,3.44,https://file1.dxycdn.com/2020/0317/893/3402535572974445672-135.json
4804241,新西兰,大洋洲,27,4,1217,22,1168,139,112,1.80,https://file1.dxycdn.com/2020/0315/194/3402160489185731566-135.json
4804738,斐济,大洋洲,26,0,27,1,0,0,0,3.70,https://file1.dxycdn.com/2020/0320/440/3403052105069099849-135.json
4804700,圣卢西亚,北美洲,25,0,25,0,0,0,0,0.00,https://file1.dxycdn.com/2020/0317/755/3402535592301799597-135.json
